8	0.052	0.868	0.901	0.049	0.509
16	0.040	0.682	0.682	0.041	0.340
32	0.039	0.470	0.488	0.041	0.207
64	0.043	0.317	0.363	0.053	0.135
128	0.059	0.289	0.383	0.071	0.100
256	0.105	0.451	0.588	0.100	0.089
512	0.192	0.761	1.041	0.148	0.104
1024	0.381	1.245	2.062	0.519	0.154
2048	0.803	3.235	5.814	0.968	0.506
4096	1.651	6.806	12.090	1.670	0.885
8192	3.968	14.395	23.353	3.512	3.608
16384	10.016	16.902	43.932	8.887	6.367
8	0.057	0.921	0.905	0.049	0.523
16	0.040	0.703	0.641	0.042	0.339
32	0.039	0.462	0.480	0.042	0.200
64	0.044	0.316	0.358	0.053	0.139
128	0.061	0.287	0.377	0.071	0.101
256	0.104	0.421	0.600	0.097	0.090
512	0.182	0.753	1.066	0.144	0.103
1024	0.374	1.285	2.012	0.503	0.152
2048	0.799	3.540	5.846	0.955	0.500
4096	1.634	7.628	12.374	1.712	0.878
